article_file,plan_ref,target_keyword,ef_cj_link_id,raw_click_url,promo_ends,primary_affiliate_line,notes
african-safari-cost.md,#25 (Month 3),africa safari cost,,,,travel insurance,
amalfi-coast-road-trip.md,#3 (Month 1 priority),amalfi coast road trip,,,,Viator/GetYourGuide; accommodation; car hire,
bali-travel-guide.md,#14 (Month 1 priority),bali travel guide,,,,Viator/GetYourGuide; travel insurance; accommodation,
bangkok-street-food-guide.md,#16 (Month 1 priority),bangkok street food guide,,,,Viator/GetYourGuide; accommodation,
best-business-class-redemptions.md,#47 (Month 1 priority),best business class redemptions,,,,credit card,
best-time-to-visit-italy.md,#1 (Month 1 priority),best time to visit italy,,,,accommodation,
best-travel-apps.md,#40 (Ongoing/evergreen),best travel apps,,,,eSIM,
cambodia-vs-vietnam.md,#21 (Month 3),cambodia vs vietnam,,,,Viator/GetYourGuide; accommodation,
camino-de-santiago-guide.md,#12 (Month 1),camino de santiago,17167876,https://www.dpbolvw.net/click-101849129-17167876,28-Jun-2028,display only,EF CTA
cape-town-travel-guide.md,#26 (Month 3),cape town travel guide,,,,Viator/GetYourGuide; accommodation; car hire,
colombia-travel-guide.md,#31 (Month 3),colombia travel tips,,,,Viator/GetYourGuide; accommodation,
costa-rica-eco-travel.md,#34 (Month 3),costa rica eco travel,,,,Viator/GetYourGuide; accommodation; car hire,
croatia-island-hopping.md,#8 (Month 1),croatia island hopping,17167880,https://www.dpbolvw.net/click-101849129-17167880,28-Jun-2028,display only,EF CTA
cuba-travel-guide.md,#35 (Month 3),cuba travel guide,,,,travel insurance; accommodation,
dolomites-hiking-guide.md,none — proposed addition (EF inventory gap),hiking in the dolomites,17167875,https://www.tkqlhce.com/click-101849129-17167875,28-Jun-2028,display only,EF CTA
egypt-travel-tips.md,#28 (Month 3),egypt travel tips,,,,Viator/GetYourGuide; accommodation,
europe-packing-list.md,#39 (Month 2),packing list europe,,,,travel insurance,
flying-business-class-cheap.md,#50 (Month 3),flying business class cheap,,,,credit card,
galapagos-islands-guide.md,#36 (Month 3),galapagos islands,,,,Viator/GetYourGuide; accommodation,
greek-islands-comparison.md,#4 (Month 2),santorini vs mykonos vs paros,17167878,https://www.dpbolvw.net/click-101849129-17167878,28-Jun-2028,display only,EF CTA
hotel-loyalty-programs-ranked.md,#48 (Month 2),hotel points guide,,,,credit card,
how-to-avoid-tourist-traps.md,#43 (Ongoing/evergreen),how to avoid tourist traps,,,,Viator/GetYourGuide; accommodation,
how-to-book-cheap-flights.md,#41 (Month 1 priority),how to book cheap flights,,,,credit card,
how-to-earn-miles-without-flying.md,#45 (Month 2),how to earn miles,,,,credit card,
iceland-northern-lights.md,#9 (Month 2),iceland northern lights,,,,Viator/GetYourGuide; accommodation; car hire,
india-first-time-guide.md,#20 (Month 3),india first time visit,,,,travel insurance; accommodation,
japan-2-week-itinerary.md,#13 (Month 1 priority),japan itinerary 2 weeks,,,,Viator/GetYourGuide; accommodation,
japan-cherry-blossom-season.md,#19 (Month 2),japan cherry blossom,,,,accommodation,
kyoto-hidden-temples.md,#22 (Month 3),kyoto hidden temples,,,,accommodation,
lisbon-3-day-itinerary.md,#5 (Month 3),lisbon itinerary 3 days,,,,Viator/GetYourGuide; accommodation,
long-term-travel-tips.md,#44 (Ongoing/evergreen),long term travel tips,,,,display only,
machu-picchu-guide.md,#32 (Month 3),machu picchu guide,,,,Viator/GetYourGuide; accommodation,
maldives-on-a-budget.md,#17 (Month 3),maldives on a budget,,,,Viator/GetYourGuide; accommodation,
mexico-city-travel-guide.md,#30 (Month 2),mexico city travel guide,,,,Viator/GetYourGuide; accommodation,
morocco-travel-guide.md,#24 (Month 3),morocco travel guide,,,,Viator/GetYourGuide; accommodation,
nyc-on-a-budget.md,#33 (Month 3),new york city on a budget,,,,accommodation,
paris-restaurants-guide.md,#7 (Month 3),best restaurants paris,,,,Viator/GetYourGuide; accommodation,
patagonia-trekking-guide.md,#29 (Month 1 priority),patagonia trekking guide,,,,travel insurance; accommodation,
portugal-lesser-known-places.md,#2 (Month 2),hidden gems portugal,17167879,https://www.dpbolvw.net/click-101849129-17167879,28-Jun-2028,display only,EF CTA
rwanda-gorilla-trekking.md,#27 (Month 3),rwanda gorilla trekking,,,,travel insurance; accommodation,
sapphire-reserve-vs-amex-platinum.md,#46 (Month 3),chase sapphire vs amex platinum,,,,display only,
solo-female-travel-safety.md,#38 (Month 3),solo female travel safety,17315884,https://www.tkqlhce.com/click-101849129-17315884,30-Nov-2027,accommodation,EF CTA
spain-travel-budget.md,#6 (Month 3),spain travel budget,,,,accommodation,
sri-lanka-itinerary.md,#18 (Month 2),sri lanka itinerary,,,,Viator/GetYourGuide; accommodation,
tanzania-vs-kenya-safari.md,#23 (Month 1 priority),tanzania vs kenya safari,,,,travel insurance,
tour-de-france-2027-guide.md,none — proposed addition (EF inventory gap),tour de france 2027,17133008,https://www.kqzyfj.com/click-101849129-17133008,28-Jun-2028,display only,EF CTA
transfer-points-to-airlines.md,#49 (Month 3),transfer points to airlines,,,,credit card,
travel-budget-template.md,#42 (Ongoing/evergreen),travel budget template,,,,travel insurance,
travel-insurance-guide.md,#37 (Month 1 priority),travel insurance guide,,,,travel insurance,
tuscany-road-trip.md,#11 (Month 3),tuscany road trip,,,,Viator/GetYourGuide; accommodation; car hire,
vienna-vs-prague.md,#10 (Month 3),vienna vs prague,,,,accommodation,
vietnam-north-to-south.md,#15 (Month 2),vietnam north to south,,,,Viator/GetYourGuide; travel insurance; accommodation,
